generation,pokemon_variant,pokemon_name,sprite_type,sprite_url
3,None,Treecko,Normal,https://projectpokemon.org/images/normal-sprite/treecko.gif
3,None,Treecko,Shiny,https://projectpokemon.org/images/shiny-sprite/treecko.gif
3,None,Grovyle,Normal,https://projectpokemon.org/images/normal-sprite/grovyle.gif
3,None,Grovyle,Shiny,https://projectpokemon.org/images/shiny-sprite/grovyle.gif
3,None,Sceptile,Normal,https://projectpokemon.org/images/normal-sprite/sceptile.gif
3,None,Sceptile,Shiny,https://projectpokemon.org/images/shiny-sprite/sceptile.gif
3,Mega,Sceptile,Normal,https://projectpokemon.org/images/normal-sprite/sceptile-mega.gif
3,Mega,Sceptile,Shiny,https://projectpokemon.org/images/shiny-sprite/sceptile-mega.gif
3,None,Torchic,Normal,https://projectpokemon.org/images/normal-sprite/torchic.gif
3,None,Torchic,Shiny,https://projectpokemon.org/images/shiny-sprite/torchic.gif
3,F,Torchic,Normal,https://projectpokemon.org/images/normal-sprite/torchic-f.gif
3,F,Torchic,Shiny,https://projectpokemon.org/images/shiny-sprite/torchic-f.gif
3,None,Combusken,Normal,https://projectpokemon.org/images/normal-sprite/combusken.gif
3,None,Combusken,Shiny,https://projectpokemon.org/images/shiny-sprite/combusken.gif
3,F,Combusken,Normal,https://projectpokemon.org/images/normal-sprite/combusken-f.gif
3,F,Combusken,Shiny,https://projectpokemon.org/images/shiny-sprite/combusken-f.gif
3,None,Blaziken,Normal,https://projectpokemon.org/images/normal-sprite/blaziken.gif
3,None,Blaziken,Shiny,https://projectpokemon.org/images/shiny-sprite/blaziken.gif
3,F,Blaziken,Normal,https://projectpokemon.org/images/normal-sprite/blaziken-f.gif
3,F,Blaziken,Shiny,https://projectpokemon.org/images/shiny-sprite/blaziken-f.gif
3,Mega,Blaziken,Normal,https://projectpokemon.org/images/normal-sprite/blaziken-mega.gif
3,Mega,Blaziken,Shiny,https://projectpokemon.org/images/shiny-sprite/blaziken-mega.gif
3,None,Mudkip,Normal,https://projectpokemon.org/images/normal-sprite/mudkip.gif
3,None,Mudkip,Shiny,https://projectpokemon.org/images/shiny-sprite/mudkip.gif
3,None,Marshtomp,Normal,https://projectpokemon.org/images/normal-sprite/marshtomp.gif
3,None,Marshtomp,Shiny,https://projectpokemon.org/images/shiny-sprite/marshtomp.gif
3,None,Swampert,Normal,https://projectpokemon.org/images/normal-sprite/swampert.gif
3,None,Swampert,Shiny,https://projectpokemon.org/images/shiny-sprite/swampert.gif
3,Mega,Swampert,Normal,https://projectpokemon.org/images/normal-sprite/swampert-mega.gif
3,Mega,Swampert,Shiny,https://projectpokemon.org/images/shiny-sprite/swampert-mega.gif
