generation,pokemon_variant,pokemon_name,sprite_type,sprite_url
1,None,Bulbasaur,Normal,https://projectpokemon.org/images/normal-sprite/bulbasaur.gif
1,None,Bulbasaur,Shiny,https://projectpokemon.org/images/shiny-sprite/bulbasaur.gif
1,None,Ivysaur,Normal,https://projectpokemon.org/images/normal-sprite/ivysaur.gif
1,None,Ivysaur,Shiny,https://projectpokemon.org/images/shiny-sprite/ivysaur.gif
1,None,Venusaur,Normal,https://projectpokemon.org/images/normal-sprite/venusaur.gif
1,None,Venusaur,Shiny,https://projectpokemon.org/images/shiny-sprite/venusaur.gif
1,F,Venusaur,Normal,https://projectpokemon.org/images/normal-sprite/venusaur-f.gif
1,F,Venusaur,Shiny,https://projectpokemon.org/images/shiny-sprite/venusaur-f.gif
1,Mega,Venusaur,Normal,https://projectpokemon.org/images/normal-sprite/venusaur-mega.gif
1,Mega,Venusaur,Shiny,https://projectpokemon.org/images/shiny-sprite/venusaur-mega.gif
1,None,Charmander,Normal,https://projectpokemon.org/images/normal-sprite/charmander.gif
1,None,Charmander,Shiny,https://projectpokemon.org/images/shiny-sprite/charmander.gif
1,None,Charmeleon,Normal,https://projectpokemon.org/images/normal-sprite/charmeleon.gif
1,None,Charmeleon,Shiny,https://projectpokemon.org/images/shiny-sprite/charmeleon.gif
1,None,Charizard,Normal,https://projectpokemon.org/images/normal-sprite/charizard.gif
1,None,Charizard,Shiny,https://projectpokemon.org/images/shiny-sprite/charizard.gif
1,Megax,Charizard,Normal,https://projectpokemon.org/images/normal-sprite/charizard-megax.gif
1,Megax,Charizard,Shiny,https://projectpokemon.org/images/shiny-sprite/charizard-megax.gif
1,Megay,Charizard,Normal,https://projectpokemon.org/images/normal-sprite/charizard-megay.gif
1,Megay,Charizard,Shiny,https://projectpokemon.org/images/shiny-sprite/charizard-megay.gif
1,None,Squirtle,Normal,https://projectpokemon.org/images/normal-sprite/squirtle.gif
1,None,Squirtle,Shiny,https://projectpokemon.org/images/shiny-sprite/squirtle.gif
1,None,Wartortle,Normal,https://projectpokemon.org/images/normal-sprite/wartortle.gif
1,None,Wartortle,Shiny,https://projectpokemon.org/images/shiny-sprite/wartortle.gif
1,None,Blastoise,Normal,https://projectpokemon.org/images/normal-sprite/blastoise.gif
1,None,Blastoise,Shiny,https://projectpokemon.org/images/shiny-sprite/blastoise.gif
1,Mega,Blastoise,Normal,https://projectpokemon.org/images/normal-sprite/blastoise-mega.gif
1,Mega,Blastoise,Shiny,https://projectpokemon.org/images/shiny-sprite/blastoise-mega.gif
1,None,Caterpie,Normal,https://projectpokemon.org/images/normal-sprite/caterpie.gif
1,None,Caterpie,Shiny,https://projectpokemon.org/images/shiny-sprite/caterpie.gif
1,None,Metapod,Normal,https://projectpokemon.org/images/normal-sprite/metapod.gif
