generation,pokemon_variant,pokemon_name,sprite_type,sprite_url
7,None,Rowlet,,https://projectpokemon.org/images/normal-sprite/rowlet.gif
7,None,Rowlet,,https://projectpokemon.org/images/shiny-sprite/rowlet.gif
7,None,Dartrix,,https://projectpokemon.org/images/normal-sprite/dartrix.gif
7,None,Dartrix,,https://projectpokemon.org/images/shiny-sprite/dartrix.gif
7,None,Decidueye,,https://projectpokemon.org/images/normal-sprite/decidueye.gif
7,None,Decidueye,,https://projectpokemon.org/images/shiny-sprite/decidueye.gif
7,None,Litten,,https://projectpokemon.org/images/normal-sprite/litten.gif
7,None,Litten,,https://projectpokemon.org/images/shiny-sprite/litten.gif
7,None,Torracat,,https://projectpokemon.org/images/normal-sprite/torracat.gif
7,None,Torracat,,https://projectpokemon.org/images/shiny-sprite/torracat.gif
7,None,Incineroar,,https://projectpokemon.org/images/normal-sprite/incineroar.gif
7,None,Incineroar,,https://projectpokemon.org/images/shiny-sprite/incineroar.gif
7,None,Popplio,,https://projectpokemon.org/images/normal-sprite/popplio.gif
7,None,Popplio,,https://projectpokemon.org/images/shiny-sprite/popplio.gif
7,None,Brionne,,https://projectpokemon.org/images/normal-sprite/brionne.gif
7,None,Brionne,,https://projectpokemon.org/images/shiny-sprite/brionne.gif
7,None,Primarina,,https://projectpokemon.org/images/normal-sprite/primarina.gif
7,None,Primarina,,https://projectpokemon.org/images/shiny-sprite/primarina.gif
7,None,Pikipek,,https://projectpokemon.org/images/normal-sprite/pikipek.gif
7,None,Pikipek,,https://projectpokemon.org/images/shiny-sprite/pikipek.gif
7,None,Trumbeak,,https://projectpokemon.org/images/normal-sprite/trumbeak.gif
7,None,Trumbeak,,https://projectpokemon.org/images/shiny-sprite/trumbeak.gif
7,None,Toucannon,,https://projectpokemon.org/images/normal-sprite/toucannon.gif
7,None,Toucannon,,https://projectpokemon.org/images/shiny-sprite/toucannon.gif
7,None,Yungoos,,https://projectpokemon.org/images/normal-sprite/yungoos.gif
7,None,Yungoos,,https://projectpokemon.org/images/shiny-sprite/yungoos.gif
7,None,Gumshoos,,https://projectpokemon.org/images/normal-sprite/gumshoos.gif
7,None,Gumshoos,,https://projectpokemon.org/images/shiny-sprite/gumshoos.gif
7,Totem,Gumshoos,,https://projectpokemon.org/images/normal-sprite/gumshoos-totem.gif
7,Totem,Gumshoos,,https://projectpokemon.org/images/shiny-sprite/gumshoos-totem.gif
7,None,Grubbin,,https://projectpokemon.org/images/normal-sprite/grubbin.gif
7,None,Grubbin,,https://projectpokemon.org/images/shiny-sprite/grubbin.gif
7,None,Charjabug,,https://projectpokemon.org/images/normal-sprite/charjabug.gif
7,None,Charjabug,,https://projectpokemon.org/images/shiny-sprite/charjabug.gif
7,None,Vikavolt,,https://projectpokemon.org/images/normal-sprite/vikavolt.gif
7,None,Vikavolt,,https://projectpokemon.org/images/shiny-sprite/vikavolt.gif
7,Totem,Vikavolt,,https://projectpokemon.org/images/normal-sprite/vikavolt-totem.gif
7,Totem,Vikavolt,,https://projectpokemon.org/images/shiny-sprite/vikavolt-totem.gif
7,None,Crabrawler,,https://projectpokemon.org/images/normal-sprite/crabrawler.gif
7,None,Crabrawler,,https://projectpokemon.org/images/shiny-sprite/crabrawler.gif
7,None,Crabominable,,https://projectpokemon.org/images/normal-sprite/crabominable.gif
7,None,Crabominable,,https://projectpokemon.org/images/shiny-sprite/crabominable.gif
7,None,Oricorio,,https://projectpokemon.org/images/normal-sprite/oricorio.gif
7,None,Oricorio,,https://projectpokemon.org/images/shiny-sprite/oricorio.gif
7,Pompom,Oricorio,,https://projectpokemon.org/images/normal-sprite/oricorio-pompom.gif
7,Pompom,Oricorio,,https://projectpokemon.org/images/shiny-sprite/oricorio-pompom.gif
7,Pau,Oricorio,,https://projectpokemon.org/images/normal-sprite/oricorio-pau.gif
7,Pau,Oricorio,,https://projectpokemon.org/images/shiny-sprite/oricorio-pau.gif
7,Sensu,Oricorio,,https://projectpokemon.org/images/normal-sprite/oricorio-sensu.gif
7,Sensu,Oricorio,,https://projectpokemon.org/images/shiny-sprite/oricorio-sensu.gif
7,None,Cutiefly,,https://projectpokemon.org/images/normal-sprite/cutiefly.gif
7,None,Cutiefly,,https://projectpokemon.org/images/shiny-sprite/cutiefly.gif
7,None,Ribombee,,https://projectpokemon.org/images/normal-sprite/ribombee.gif
7,None,Ribombee,,https://projectpokemon.org/images/shiny-sprite/ribombee.gif
7,Totem,Ribombee,,https://projectpokemon.org/images/normal-sprite/ribombee-totem.gif
7,Totem,Ribombee,,https://projectpokemon.org/images/shiny-sprite/ribombee-totem.gif
7,None,Rockruff,,https://projectpokemon.org/images/normal-sprite/rockruff.gif
7,None,Rockruff,,https://projectpokemon.org/images/shiny-sprite/rockruff.gif
7,None,Lycanroc,,https://projectpokemon.org/images/normal-sprite/lycanroc.gif
7,None,Lycanroc,,https://projectpokemon.org/images/shiny-sprite/lycanroc.gif
7,Midnight,Lycanroc,,https://projectpokemon.org/images/normal-sprite/lycanroc-midnight.gif
7,Midnight,Lycanroc,,https://projectpokemon.org/images/shiny-sprite/lycanroc-midnight.gif
7,Dusk,Lycanroc,,https://projectpokemon.org/images/normal-sprite/lycanroc-dusk.gif
7,Dusk,Lycanroc,,https://projectpokemon.org/images/shiny-sprite/lycanroc-dusk.gif
7,None,Wishiwashi,,https://projectpokemon.org/images/normal-sprite/wishiwashi.gif
7,None,Wishiwashi,,https://projectpokemon.org/images/shiny-sprite/wishiwashi.gif
7,School,Wishiwashi,,https://projectpokemon.org/images/normal-sprite/wishiwashi-school.gif
7,School,Wishiwashi,,https://projectpokemon.org/images/shiny-sprite/wishiwashi-school.gif
7,None,Mareanie,,https://projectpokemon.org/images/normal-sprite/mareanie.gif
7,None,Mareanie,,https://projectpokemon.org/images/shiny-sprite/mareanie.gif
7,None,Toxapex,,https://projectpokemon.org/images/normal-sprite/toxapex.gif
7,None,Toxapex,,https://projectpokemon.org/images/shiny-sprite/toxapex.gif
7,None,Mudbray,,https://projectpokemon.org/images/normal-sprite/mudbray.gif
7,None,Mudbray,,https://projectpokemon.org/images/shiny-sprite/mudbray.gif
7,None,Mudsdale,,https://projectpokemon.org/images/normal-sprite/mudsdale.gif
7,None,Mudsdale,,https://projectpokemon.org/images/shiny-sprite/mudsdale.gif
7,None,Dewpider,,https://projectpokemon.org/images/normal-sprite/dewpider.gif
7,None,Dewpider,,https://projectpokemon.org/images/shiny-sprite/dewpider.gif
7,None,Araquanid,,https://projectpokemon.org/images/normal-sprite/araquanid.gif
7,None,Araquanid,,https://projectpokemon.org/images/shiny-sprite/araquanid.gif
7,Totem,Araquanid,,https://projectpokemon.org/images/normal-sprite/araquanid-totem.gif
7,Totem,Araquanid,,https://projectpokemon.org/images/shiny-sprite/araquanid-totem.gif
7,None,Fomantis,,https://projectpokemon.org/images/normal-sprite/fomantis.gif
7,None,Fomantis,,https://projectpokemon.org/images/shiny-sprite/fomantis.gif
7,None,Lurantis,,https://projectpokemon.org/images/normal-sprite/lurantis.gif
7,None,Lurantis,,https://projectpokemon.org/images/shiny-sprite/lurantis.gif
7,Totem,Lurantis,,https://projectpokemon.org/images/normal-sprite/lurantis-totem.gif
7,Totem,Lurantis,,https://projectpokemon.org/images/shiny-sprite/lurantis-totem.gif
7,None,Morelull,,https://projectpokemon.org/images/normal-sprite/morelull.gif
7,None,Morelull,,https://projectpokemon.org/images/shiny-sprite/morelull.gif
7,None,Shiinotic,,https://projectpokemon.org/images/normal-sprite/shiinotic.gif
7,None,Shiinotic,,https://projectpokemon.org/images/shiny-sprite/shiinotic.gif
7,None,Salandit,,https://projectpokemon.org/images/normal-sprite/salandit.gif
7,None,Salandit,,https://projectpokemon.org/images/shiny-sprite/salandit.gif
7,None,Salazzle,,https://projectpokemon.org/images/normal-sprite/salazzle.gif
7,None,Salazzle,,https://projectpokemon.org/images/shiny-sprite/salazzle.gif
7,Totem,Salazzle,,https://projectpokemon.org/images/normal-sprite/salazzle-totem.gif
7,Totem,Salazzle,,https://projectpokemon.org/images/shiny-sprite/salazzle-totem.gif
7,None,Stufful,,https://projectpokemon.org/images/normal-sprite/stufful.gif
7,None,Stufful,,https://projectpokemon.org/images/shiny-sprite/stufful.gif
7,None,Bewear,,https://projectpokemon.org/images/normal-sprite/bewear.gif
7,None,Bewear,,https://projectpokemon.org/images/shiny-sprite/bewear.gif
7,None,Bounsweet,,https://projectpokemon.org/images/normal-sprite/bounsweet.gif
7,None,Bounsweet,,https://projectpokemon.org/images/shiny-sprite/bounsweet.gif
7,None,Steenee,,https://projectpokemon.org/images/normal-sprite/steenee.gif
7,None,Steenee,,https://projectpokemon.org/images/shiny-sprite/steenee.gif
7,None,Tsareena,,https://projectpokemon.org/images/normal-sprite/tsareena.gif
7,None,Tsareena,,https://projectpokemon.org/images/shiny-sprite/tsareena.gif
7,None,Comfey,,https://projectpokemon.org/images/normal-sprite/comfey.gif
7,None,Comfey,,https://projectpokemon.org/images/shiny-sprite/comfey.gif
7,None,Oranguru,,https://projectpokemon.org/images/normal-sprite/oranguru.gif
7,None,Oranguru,,https://projectpokemon.org/images/shiny-sprite/oranguru.gif
7,None,Passimian,,https://projectpokemon.org/images/normal-sprite/passimian.gif
7,None,Passimian,,https://projectpokemon.org/images/shiny-sprite/passimian.gif
7,None,Wimpod,,https://projectpokemon.org/images/normal-sprite/wimpod.gif
7,None,Wimpod,,https://projectpokemon.org/images/shiny-sprite/wimpod.gif
7,None,Golisopod,,https://projectpokemon.org/images/normal-sprite/golisopod.gif
7,None,Golisopod,,https://projectpokemon.org/images/shiny-sprite/golisopod.gif
7,None,Sandygast,,https://projectpokemon.org/images/normal-sprite/sandygast.gif
7,None,Sandygast,,https://projectpokemon.org/images/shiny-sprite/sandygast.gif
7,None,Palossand,,https://projectpokemon.org/images/normal-sprite/palossand.gif
7,None,Palossand,,https://projectpokemon.org/images/shiny-sprite/palossand.gif
7,None,Pyukumuku,,https://projectpokemon.org/images/normal-sprite/pyukumuku.gif
7,None,Pyukumuku,,https://projectpokemon.org/images/shiny-sprite/pyukumuku.gif
7,None,Typenull,,https://projectpokemon.org/images/normal-sprite/typenull.gif
7,None,Typenull,,https://projectpokemon.org/images/shiny-sprite/typenull.gif
7,None,Silvally,,https://projectpokemon.org/images/normal-sprite/silvally.gif
7,None,Silvally,,https://projectpokemon.org/images/shiny-sprite/silvally.gif
7,Fighting,Silvally,,https://projectpokemon.org/images/normal-sprite/silvally-fighting.gif
7,Fighting,Silvally,,https://projectpokemon.org/images/shiny-sprite/silvally-fighting.gif
